libblockdev-crypto 3.4.0-2.1
libblockdev-fs 3.4.0-2.1
libblockdev-loop 3.4.0-2.1
libblockdev-mdraid 3.4.0-2.1
libblockdev-nvme 3.4.0-2.1
libblockdev-part 3.4.0-2.1
libblockdev-smart 3.4.0-2.1
libblockdev-swap 3.4.0-2.1
libbluray 1.4.0-2.1
libbpf 1.6.2-1.1
libbs2b 3.1.0-10.1
libbsd 0.12.2-2.1
libbytesize 2.12-3.1
libcaca 0.99.beta20-6.1
libcanberra 1:0.30+r2+gc0620e4-6.1
libcap 2.77-1.1
libcap-ng 0.9-1.1
libcddb 1.3.2-9.1
libcdio 2.3.0-1.1
libcdio-paranoia 10.2+2.0.2-1.2
libclc 21.1.6-1
libcloudproviders 0.4.0-1.1
libcolord 1.4.8-1
libcpuid 0.8.1-1.1
libcue 2.3.0-1.1
libcups 2:2.4.16-1
libcurl-gnutls 8.18.0-3.1
libdaemon 0.14-6.1
libdatrie 0.2.14-1.1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-1.1
libdca 0.0.7-2.1
libde265 1.0.16-2.1
libdecor 0.2.5-1.1
libdeflate 1.25-1.1
libdex 1.0.0-1.1
libdiscid 0.6.5-2.1
libdispatch 6.1-1.1
libdisplay-info 0.3.0-1.1
libdovi 3.3.2-1.1
libdrm 2.4.131-1.1
libdv 1.0.0-11.1
libdvbpsi 1:1.3.3-3
libdvdcss 1.5.0-1.1
libdvdnav 7.0.0-1.1
libdvdread 7.0.1-1.1
libebml 1.4.5-1.1
libebur128 1.2.6-2.1
libedit 20250104_3.1-1.1
libei 1.5.0-1.1
libelf 0.194-1
libepoxy 1.5.10-3.1
libevdev 1.13.6-1.1
libevent 2.1.12-5.1
libexif 0.6.25-1.1
libfdk-aac 2.0.3-1.1
libffi 3.5.2-1.1
libfontenc 1.1.8-1.1
libfreeaptx 0.2.2-1.1
libftdi 1.5-9.1
libfyaml 0.9.3-1.1
libgcrypt 1.11.2-1.1
libgexiv2 0.14.6-2.1
libgirepository 1.86.0-2.1
libgit2 1:1.9.2-1.1
libglvnd 1.7.0-3.1
libgme 0.6.4-1.1
libgoom2 2k4-5
libgpg-error 1.58-1.1
libgsf 1.14.55-1.1
libgtop 2.41.3-2.1
libgudev 238-3.1
libgweather-4 4.4.4-3.1
libgxps 0.3.2-5.1
libhandy 1.8.3-2.1
libheif 1.21.2-1.1
libibus 1.5.33-3.1
libice 1.1.2-1.1
libidn 1.43-1.1
libidn2 2.3.8-1.1
libiec61883 1.2.0-9.1
libimagequant 4.4.1-1
libimobiledevice 1.4.0-2.1
libimobiledevice-glue 1.3.2-1.1
libinih 61-1.1
libinput 1.30.1-1.1
libiptcdata 1.0.5-5.1
libisl 0.27-1.1
libjpeg-turbo 3.1.3-1.1
libjxl 0.11.1-5.1
libkate 0.4.3-4.1
libksba 1.6.7-2.1
liblc3 1.1.3-2.1
libldac 2.0.2.3-2.1
libldap 2.6.12-1
liblqr 0.4.3-1.1
liblrdf 0.6.1-5.1
libltc 1.3.2-2.1
libmad 0.15.1b-10.1
libmakepkg-dropins 18-1
libmalcontent 0.13.1-1.1
libmanette 0.2.13-1.1
libmatroska 1.7.1-2.1
libmaxminddb 1.12.2-2.2
libmbim 1.34.0-1.1
libmd 1.1.0-2.1
libmfx 23.2.2-5
libmicrodns 0.2.0-2.1
libmm-glib 1.24.2-1.1
libmng 2.0.3-4.1
libmnl 1.0.5-2.1
libmodplug 0.8.9.0-6.1
libmpc 1.3.1-2.1
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-11.1
libmspack 1:1.11-1.2
libmtp 1.1.22-1.1
libmysofa 1.3.3-1.1
libnautilus-extension 49.3-1.1
libndp 1.9-1.2
libnet 2:1.3-1.2
libnetfilter_conntrack 1.0.9-2.1
libnewt 0.52.25-2.1
libnfnetlink 1.0.2-2.1
libnfs 6.0.2-5.2
libnftnl 1.3.1-1.1
libnghttp2 1.68.0-1.1
libnghttp3 1.15.0-1.1
libngtcp2 1.20.0-1.1
libnice 0.1.23-1.1
libnl 3.12.0-1.1
libnm 1.54.3-1
libnma 1.10.6-3.1
libnma-common 1.10.6-3.1
libnma-gtk4 1.10.6-3.1
libnotify 0.8.8-1.1
libnsl 2.0.1-1.1
libnvme 1.16.1-2.1
libogg 1.3.6-1.1
liboggz 1.1.3-1.1
libopenmpt 0.8.4-1.1
libopenraw 0.3.7-2.1
libosinfo 1.12.0-2.1
libp11-kit 0.26.1-1.1
libpamac-aur 11.7.4-5
libpaper 2.2.7-1.1
libpcap 1.10.6-1.1
libpciaccess 0.18.1-2.1
libpgm 5.3.128-3.1
libpipeline 1.5.8-1.1
libpipewire 1:1.4.10-1.1
libplacebo 7.351.0-4.1
libplist 2.7.0-2.1
libpng 1.6.53-2.1
libportal 0.9.1-2.1
libportal-gtk4 0.9.1-2.1
libproxy 0.5.12-1.1
libpsl 0.21.5-2.1
libpulse 17.0+r98+gb096704c0-1.1
libpwquality 1.4.5-7.1
libqalculate 5.9.0-1.1
libqmi 1.38.0-1.1
libqrtr-glib 1.4.0-1.1
libraqm 0.10.3-1.1
libraw1394 2.1.2-4.1
librsvg 2:2.61.3-1.1
libsamplerate 0.2.2-3.1
libsasl 2.1.28-5.1
libseccomp 2.6.0-1.1
libsecret 0.21.7-1.1
libshout 1:2.4.6-5.1
libsigc++-3.0 3.8.0-1.1
libsm 1.2.6-1.2
libsndfile 1.2.2-4.1
libsodium 1.0.20-1.1
libsoup 2.74.3-4.1
libsoup3 3.6.5-1
libsoxr 0.1.3-4.1
libsrtp 1:2.7.0-1.1
libssh 0.11.3-1.1
libssh2 1.11.1-1.1
libstemmer 3.0.1-1.1
libsysprof-capture 49.0-1.1
libtasn1 4.21.0-1.1
libtatsu 1.0.5-1.1
libteam 1.32-3.1
libthai 0.1.30-1.1
libtheora 1.2.0-1.1
libtiff 4.7.1-1.1
libtiger 0.3.4-8.1
libtirpc 1.3.7-1.1
libtommath 1.3.0-2.1
libtool 2.6.0-3
libunibreak 6.1-1.2
libunistring 1.4.1-1.1
libunwind 1.8.2-1.1
libupnp 1.14.25-1.1
liburcu 0.15.5-1.1
liburing 2.13-1.1
libusb 1.0.29-1.1
libusb-compat 0.1.8-2.1
libusbmuxd 2.1.1-1.1
libutempter 1.2.3-1.1
libuv 1.51.0-1
libva 2.22.0-1.1
libvdpau 1.5-3.1
libverto 0.3.2-5.1
libvlc 3.0.21-32.1
libvorbis 1.3.7-4.1
libvpl 2.16.0-1.1
libvpx 1.15.2-2.1
libwacom 2.17.0-1
libwbclient 2:4.23.5-1.1
libwebp 1.6.0-2.1
libwireplumber 0.5.13-1.1
libwnck3 43.3-1.2
libx11 1.8.12-2.1
libx86emu 3.7-2.1
libxau 1.0.12-1.1
libxcb 1.17.0-1.2
libxcomposite 0.4.7-1.1
libxcrypt 4.5.2-1.1
libxcrypt-compat 4.5.2-1.1
libxcursor 1.2.3-1.1
libxcvt 0.1.3-1.1
libxdamage 1.1.7-1.1
libxdmcp 1.1.5-1.2
libxext 1.3.7-1.1
libxfce4ui 4.20.2-1.1
libxfce4util 4.20.1-1.1
libxfixes 6.0.2-1.1
libxfont2 2.0.7-1.1
libxft 2.3.9-1.2
libxi 1.8.2-1.1
libxinerama 1.1.6-1.1
libxkbcommon 1.13.1-1.1
libxkbcommon-x11 1.13.1-1.1
libxkbfile 1.2.0-1.1
libxml2 2.15.1-5.1
libxmlb 0.3.24-1.1
libxmp 4.6.3-1.1
